GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,6,0,0,12,3,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,49,47,4,0,13,13,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,49,50,4,0,13,14,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,48,47,4,0,13,13,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,49,47,4,0,13,13,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,49,47,4,0,13,13,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,49,47,4,0,13,13,4,5,2,5
spring-boot-skeleton,com.nnk.springboot.service.Impl,RuleNameServiceImpl,29,142,1,1,12,35,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,BidServiceImpl,47,117,4,4,11,34,4,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,TradeServiceImpl,28,112,1,1,12,29,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,CurvePointServiceImpl,29,112,1,1,12,29,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,RatingServiceImpl,29,130,4,4,12,36,4,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.Impl,UserServiceImpl,95,132,6,4,27,36,7,7,2,7
spring-boot-skeleton,com.nnk.springboot.config,CustomOAuth2User,20,0,0,0,6,0,4,0,4,0
spring-boot-skeleton,com.nnk.springboot.config,MyAccessDeniedHandler,33,7,2,0,6,2,2,2,1,2
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,192,0,0,0,26,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.config,PasswordEncoder,0,7,0,0,0,2,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.config,CustomOAuthUserService,9,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.exception,NotConformDataException,4,0,0,0,2,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.exception,DataNotFoundException,4,0,0,0,2,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
